quiz_score,time_spent,learning_style
51,53,auditory
92,44,visual
14,20,kinesthetic
71,52,visual
60,32,auditory
20,39,kinesthetic
82,57,visual
86,14,visual
74,17,visual
74,52,visual
87,52,visual
99,59,visual
23,19,kinesthetic
2,37,kinesthetic
21,45,kinesthetic
52,19,auditory
1,23,kinesthetic
87,47,visual
29,46,kinesthetic
37,56,kinesthetic
1,14,kinesthetic
63,15,auditory
59,39,auditory
20,28,kinesthetic
32,58,kinesthetic
75,23,visual
57,20,auditory
21,55,kinesthetic
88,14,visual
48,54,auditory
90,40,visual
58,53,auditory
41,41,auditory
91,33,visual
59,19,auditory
79,22,visual
14,56,kinesthetic
61,22,auditory
61,45,auditory
46,31,auditory
61,18,auditory
50,28,auditory
54,16,auditory
63,24,auditory
2,26,kinesthetic
50,55,auditory
6,23,kinesthetic
20,50,kinesthetic
72,57,visual
38,11,kinesthetic
17,23,kinesthetic
3,13,kinesthetic
88,12,visual
59,12,auditory
13,20,kinesthetic
8,14,kinesthetic
89,57,visual
52,38,auditory
1,37,kinesthetic
83,32,visual
91,39,visual
59,32,auditory
70,50,visual
43,31,auditory
7,52,kinesthetic
46,21,auditory
34,36,kinesthetic
77,49,visual
80,55,visual
35,58,kinesthetic
49,24,auditory
3,56,kinesthetic
1,32,kinesthetic
5,53,kinesthetic
53,50,auditory
3,53,kinesthetic
53,28,auditory
92,53,visual
62,20,auditory
17,47,kinesthetic
89,49,visual
43,52,auditory
33,12,kinesthetic
73,25,visual
61,41,auditory
99,47,visual
13,18,kinesthetic
94,50,visual
47,47,auditory
14,14,kinesthetic
71,10,visual
77,44,visual
86,44,visual
61,21,auditory
39,45,kinesthetic
84,30,visual
79,57,visual
81,52,visual
52,17,auditory
23,36,kinesthetic
25,18,kinesthetic
88,37,visual
59,39,auditory
40,23,auditory
28,32,kinesthetic
14,38,kinesthetic
44,35,auditory
64,31,auditory
88,24,visual
70,18,visual
8,35,kinesthetic
87,26,visual
0,18,kinesthetic
7,12,kinesthetic
87,25,visual
62,22,auditory
10,35,kinesthetic
80,26,visual
7,41,kinesthetic
34,33,kinesthetic
34,45,kinesthetic
32,31,kinesthetic
4,18,kinesthetic
40,31,auditory
27,50,kinesthetic
6,59,kinesthetic
72,55,visual
71,29,visual
11,12,kinesthetic
33,45,kinesthetic
32,42,kinesthetic
47,27,auditory
22,45,kinesthetic
61,19,auditory
87,45,visual
36,30,kinesthetic
98,34,visual
43,58,auditory
85,49,visual
90,18,visual
34,57,kinesthetic
64,36,auditory
98,24,visual
46,41,auditory
77,57,visual
2,53,kinesthetic
0,59,kinesthetic
4,48,kinesthetic
89,25,visual
13,37,kinesthetic
26,15,kinesthetic
8,15,kinesthetic
78,47,visual
14,56,kinesthetic
89,11,visual
41,50,auditory
76,49,visual
50,16,auditory
62,36,auditory
95,37,visual
51,25,auditory
95,56,visual
3,18,kinesthetic
93,24,visual
22,43,kinesthetic
14,29,kinesthetic
42,23,auditory
28,20,kinesthetic
35,39,kinesthetic
12,12,kinesthetic
31,11,kinesthetic
70,59,visual
58,23,auditory
85,38,visual
27,14,kinesthetic
65,53,auditory
41,55,auditory
44,15,auditory
61,17,auditory
56,48,auditory
5,48,kinesthetic
